Event,Country,SportType,NumberOfParticipations
Summer,Great Britain,Fencing,345
Summer,Germany,Fencing,331
Summer,Poland,Fencing,254
Summer,Sweden,Fencing,149
Summer,China,Fencing,138
Summer,Canada,Fencing,135
Summer,Russia,Fencing,125
Summer,Netherlands,Fencing,123
Summer,Japan,Fencing,101
Summer,Australia,Fencing,89
Summer,Spain,Fencing,86
Summer,Great Britain,Figure Skating,17
Summer,Sweden,Figure Skating,8
Summer,Germany,Figure Skating,3
Summer,United States,Figure Skating,3
Summer,Russia,Figure Skating,1
Summer,Germany,Football,304
Summer,United States,Football,304
Summer,Sweden,Football,253
Summer,Italy,Football,239
Summer,Japan,Football,225
Summer,Australia,Football,166
Summer,Spain,Football,163
Summer,Great Britain,Football,160
Summer,China,Football,136
Summer,Hungary,Football,132
Summer,Netherlands,Football,110
Summer,Poland,Football,106
Summer,Canada,Football,99
Summer,Russia,Football,15
Summer,United States,Gymnastics,382
Summer,Germany,Gymnastics,322
Summer,Italy,Gymnastics,314
Summer,Great Britain,Gymnastics,300
Summer,Hungary,Gymnastics,228
Summer,Japan,Gymnastics,194
Summer,Sweden,Gymnastics,152
Summer,Canada,Gymnastics,120
Summer,China,Gymnastics,116
Summer,Spain,Gymnastics,110
Summer,Poland,Gymnastics,100
Summer,Netherlands,Gymnastics,91
Summer,Australia,Gymnastics,89
Summer,Russia,Gymnastics,84
Summer,Germany,Handball,288
Summer,Spain,Handball,207
Summer,Hungary,Handball,205
Summer,Sweden,Handball,166
Summer,United States,Handball,142
Summer,Russia,Handball,100
Summer,China,Handball,81
Summer,Poland,Handball,72
Summer,Japan,Handball,66
Summer,Australia,Handball,30
Summer,Canada,Handball,28
Summer,Great Britain,Handball,28
Summer,Netherlands,Handball,15
Summer,Germany,Hockey,461
Summer,Great Britain,Hockey,425
Summer,Netherlands,Hockey,422
Summer,Australia,Hockey,385
Summer,Spain,Hockey,368
Summer,United States,Hockey,184
Summer,Canada,Hockey,157
Summer,Japan,Hockey,127
Summer,China,Hockey,98
Summer,Poland,Hockey,92
Summer,Italy,Hockey,33
Summer,Hungary,Hockey,15
Summer,Sweden,Ice Hockey,11
Summer,United States,Ice Hockey,11
Summer,Canada,Ice Hockey,8
Summer,Germany,Judo,130
Summer,Japan,Judo,129
Summer,Great Britain,Judo,110
Summer,United States,Judo,105
Summer,Australia,Judo,86
Summer,China,Judo,82
Summer,Netherlands,Judo,82
Summer,Canada,Judo,80
Summer,Italy,Judo,76
Summer,Hungary,Judo,75
Summer,Spain,Judo,74
Summer,Poland,Judo,73
